run_name,model,data,shmr,zcut,has_uvlf,has_bg,has_cmb,use_donnan_bins,use_finkelstein_bins,n_sampled_params,folder_path
exo_uvlf_vbeta_restr,exo,uvlf,vbeta,restr,True,False,False,True,True,6,exotic/restr/vbeta/exo_uvlf_vbeta_restr
exo_ceers_bg_vbeta_restr,exo,ceers_bg,vbeta,restr,True,True,False,False,True,6,exotic/restr/vbeta/exo_ceers_bg_vbeta_restr
exo_primer_bg_vbeta_restr,exo,primer_bg,vbeta,restr,True,True,False,True,False,6,exotic/restr/vbeta/exo_primer_bg_vbeta_restr
exo_uvlf_bg_vbeta_restr,exo,uvlf_bg,vbeta,restr,True,True,False,True,True,6,exotic/restr/vbeta/exo_uvlf_bg_vbeta_restr
exo_ceers_cmb_vbeta_restr,exo,ceers_cmb,vbeta,restr,True,False,True,False,True,9,exotic/restr/vbeta/exo_ceers_cmb_vbeta_restr
exo_primer_cmb_vbeta_restr,exo,primer_cmb,vbeta,restr,True,False,True,True,False,9,exotic/restr/vbeta/exo_primer_cmb_vbeta_restr
exo_uvlf_cmb_vbeta_restr,exo,uvlf_cmb,vbeta,restr,True,False,True,True,True,9,exotic/restr/vbeta/exo_uvlf_cmb_vbeta_restr
exo_ceers_bg_cmb_vbeta_restr,exo,ceers_bg_cmb,vbeta,restr,True,True,True,False,True,9,exotic/restr/vbeta/exo_ceers_bg_cmb_vbeta_restr
exo_primer_bg_cmb_vbeta_restr,exo,primer_bg_cmb,vbeta,restr,True,True,True,True,False,9,exotic/restr/vbeta/exo_primer_bg_cmb_vbeta_restr
exo_uvlf_bg_cmb_vbeta_restr,exo,uvlf_bg_cmb,vbeta,restr,True,True,True,True,True,9,exotic/restr/vbeta/exo_uvlf_bg_cmb_vbeta_restr
exo_ceers_vshmr_restr,exo,ceers,vshmr,restr,True,False,False,False,True,8,exotic/restr/vshmr/exo_ceers_vshmr_restr
exo_primer_vshmr_restr,exo,primer,vshmr,restr,True,False,False,True,False,8,exotic/restr/vshmr/exo_primer_vshmr_restr
exo_uvlf_vshmr_restr,exo,uvlf,vshmr,restr,True,False,False,True,True,8,exotic/restr/vshmr/exo_uvlf_vshmr_restr
exo_ceers_bg_vshmr_restr,exo,ceers_bg,vshmr,restr,True,True,False,False,True,8,exotic/restr/vshmr/exo_ceers_bg_vshmr_restr
exo_primer_bg_vshmr_restr,exo,primer_bg,vshmr,restr,True,True,False,True,False,8,exotic/restr/vshmr/exo_primer_bg_vshmr_restr
exo_uvlf_bg_vshmr_restr,exo,uvlf_bg,vshmr,restr,True,True,False,True,True,8,exotic/restr/vshmr/exo_uvlf_bg_vshmr_restr
exo_ceers_cmb_vshmr_restr,exo,ceers_cmb,vshmr,restr,True,False,True,False,True,11,exotic/restr/vshmr/exo_ceers_cmb_vshmr_restr
exo_primer_cmb_vshmr_restr,exo,primer_cmb,vshmr,restr,True,False,True,True,False,11,exotic/restr/vshmr/exo_primer_cmb_vshmr_restr
exo_uvlf_cmb_vshmr_restr,exo,uvlf_cmb,vshmr,restr,True,False,True,True,True,11,exotic/restr/vshmr/exo_uvlf_cmb_vshmr_restr
exo_ceers_bg_cmb_vshmr_restr,exo,ceers_bg_cmb,vshmr,restr,True,True,True,False,True,11,exotic/restr/vshmr/exo_ceers_bg_cmb_vshmr_restr
exo_primer_bg_cmb_vshmr_restr,exo,primer_bg_cmb,vshmr,restr,True,True,True,True,False,11,exotic/restr/vshmr/exo_primer_bg_cmb_vshmr_restr
exo_uvlf_bg_cmb_vshmr_restr,exo,uvlf_bg_cmb,vshmr,restr,True,True,True,True,True,11,exotic/restr/vshmr/exo_uvlf_bg_cmb_vshmr_restr
lcdm_ceers_fixed_full,lcdm,ceers,fixed,full,True,False,False,False,True,3,lcdm/full/fixed/lcdm_ceers_fixed_full
lcdm_primer_fixed_full,lcdm,primer,fixed,full,True,False,False,True,False,3,lcdm/full/fixed/lcdm_primer_fixed_full
lcdm_uvlf_fixed_full,lcdm,uvlf,fixed,full,True,False,False,True,True,3,lcdm/full/fixed/lcdm_uvlf_fixed_full
lcdm_ceers_bg_fixed_full,lcdm,ceers_bg,fixed,full,True,True,False,False,True,3,lcdm/full/fixed/lcdm_ceers_bg_fixed_full
lcdm_primer_bg_fixed_full,lcdm,primer_bg,fixed,full,True,True,False,True,False,3,lcdm/full/fixed/lcdm_primer_bg_fixed_full
lcdm_uvlf_bg_fixed_full,lcdm,uvlf_bg,fixed,full,True,True,False,True,True,3,lcdm/full/fixed/lcdm_uvlf_bg_fixed_full
lcdm_ceers_cmb_fixed_full,lcdm,ceers_cmb,fixed,full,True,False,True,False,True,6,lcdm/full/fixed/lcdm_ceers_cmb_fixed_full
lcdm_primer_cmb_fixed_full,lcdm,primer_cmb,fixed,full,True,False,True,True,False,6,lcdm/full/fixed/lcdm_primer_cmb_fixed_full
lcdm_uvlf_cmb_fixed_full,lcdm,uvlf_cmb,fixed,full,True,False,True,True,True,6,lcdm/full/fixed/lcdm_uvlf_cmb_fixed_full
lcdm_ceers_bg_cmb_fixed_full,lcdm,ceers_bg_cmb,fixed,full,True,True,True,False,True,6,lcdm/full/fixed/lcdm_ceers_bg_cmb_fixed_full
lcdm_primer_bg_cmb_fixed_full,lcdm,primer_bg_cmb,fixed,full,True,True,True,True,False,6,lcdm/full/fixed/lcdm_primer_bg_cmb_fixed_full
lcdm_uvlf_bg_cmb_fixed_full,lcdm,uvlf_bg_cmb,fixed,full,True,True,True,True,True,6,lcdm/full/fixed/lcdm_uvlf_bg_cmb_fixed_full
lcdm_ceers_vbeta_full,lcdm,ceers,vbeta,full,True,False,False,False,True,4,lcdm/full/vbeta/lcdm_ceers_vbeta_full
lcdm_primer_vbeta_full,lcdm,primer,vbeta,full,True,False,False,True,False,4,lcdm/full/vbeta/lcdm_primer_vbeta_full
lcdm_uvlf_vbeta_full,lcdm,uvlf,vbeta,full,True,False,False,True,True,4,lcdm/full/vbeta/lcdm_uvlf_vbeta_full
lcdm_ceers_bg_vbeta_full,lcdm,ceers_bg,vbeta,full,True,True,False,False,True,4,lcdm/full/vbeta/lcdm_ceers_bg_vbeta_full
lcdm_primer_bg_vbeta_full,lcdm,primer_bg,vbeta,full,True,True,False,True,False,4,lcdm/full/vbeta/lcdm_primer_bg_vbeta_full
lcdm_uvlf_bg_vbeta_full,lcdm,uvlf_bg,vbeta,full,True,True,False,True,True,4,lcdm/full/vbeta/lcdm_uvlf_bg_vbeta_full
lcdm_ceers_cmb_vbeta_full,lcdm,ceers_cmb,vbeta,full,True,False,True,False,True,7,lcdm/full/vbeta/lcdm_ceers_cmb_vbeta_full
lcdm_primer_cmb_vbeta_full,lcdm,primer_cmb,vbeta,full,True,False,True,True,False,7,lcdm/full/vbeta/lcdm_primer_cmb_vbeta_full
lcdm_uvlf_cmb_vbeta_full,lcdm,uvlf_cmb,vbeta,full,True,False,True,True,True,7,lcdm/full/vbeta/lcdm_uvlf_cmb_vbeta_full
lcdm_ceers_bg_cmb_vbeta_full,lcdm,ceers_bg_cmb,vbeta,full,True,True,True,False,True,7,lcdm/full/vbeta/lcdm_ceers_bg_cmb_vbeta_full
lcdm_primer_bg_cmb_vbeta_full,lcdm,primer_bg_cmb,vbeta,full,True,True,True,True,False,7,lcdm/full/vbeta/lcdm_primer_bg_cmb_vbeta_full
lcdm_uvlf_bg_cmb_vbeta_full,lcdm,uvlf_bg_cmb,vbeta,full,True,True,True,True,True,7,lcdm/full/vbeta/lcdm_uvlf_bg_cmb_vbeta_full
lcdm_ceers_vshmr_full,lcdm,ceers,vshmr,full,True,False,False,False,True,6,lcdm/full/vshmr/lcdm_ceers_vshmr_full
lcdm_primer_vshmr_full,lcdm,primer,vshmr,full,True,False,False,True,False,6,lcdm/full/vshmr/lcdm_primer_vshmr_full
lcdm_uvlf_vshmr_full,lcdm,uvlf,vshmr,full,True,False,False,True,True,6,lcdm/full/vshmr/lcdm_uvlf_vshmr_full
lcdm_ceers_bg_vshmr_full,lcdm,ceers_bg,vshmr,full,True,True,False,False,True,6,lcdm/full/vshmr/lcdm_ceers_bg_vshmr_full
lcdm_primer_bg_vshmr_full,lcdm,primer_bg,vshmr,full,True,True,False,True,False,6,lcdm/full/vshmr/lcdm_primer_bg_vshmr_full
lcdm_uvlf_bg_vshmr_full,lcdm,uvlf_bg,vshmr,full,True,True,False,True,True,6,lcdm/full/vshmr/lcdm_uvlf_bg_vshmr_full
lcdm_ceers_cmb_vshmr_full,lcdm,ceers_cmb,vshmr,full,True,False,True,False,True,9,lcdm/full/vshmr/lcdm_ceers_cmb_vshmr_full
lcdm_primer_cmb_vshmr_full,lcdm,primer_cmb,vshmr,full,True,False,True,True,False,9,lcdm/full/vshmr/lcdm_primer_cmb_vshmr_full
lcdm_uvlf_cmb_vshmr_full,lcdm,uvlf_cmb,vshmr,full,True,False,True,True,True,9,lcdm/full/vshmr/lcdm_uvlf_cmb_vshmr_full
lcdm_ceers_bg_cmb_vshmr_full,lcdm,ceers_bg_cmb,vshmr,full,True,True,True,False,True,9,lcdm/full/vshmr/lcdm_ceers_bg_cmb_vshmr_full
lcdm_primer_bg_cmb_vshmr_full,lcdm,primer_bg_cmb,vshmr,full,True,True,True,True,False,9,lcdm/full/vshmr/lcdm_primer_bg_cmb_vshmr_full
lcdm_uvlf_bg_cmb_vshmr_full,lcdm,uvlf_bg_cmb,vshmr,full,True,True,True,True,True,9,lcdm/full/vshmr/lcdm_uvlf_bg_cmb_vshmr_full
lcdm_ceers_fixed_restr,lcdm,ceers,fixed,restr,True,False,False,False,True,3,lcdm/restr/fixed/lcdm_ceers_fixed_restr
lcdm_primer_fixed_restr,lcdm,primer,fixed,restr,True,False,False,True,False,3,lcdm/restr/fixed/lcdm_primer_fixed_restr
lcdm_uvlf_fixed_restr,lcdm,uvlf,fixed,restr,True,False,False,True,True,3,lcdm/restr/fixed/lcdm_uvlf_fixed_restr
lcdm_ceers_bg_fixed_restr,lcdm,ceers_bg,fixed,restr,True,True,False,False,True,3,lcdm/restr/fixed/lcdm_ceers_bg_fixed_restr
lcdm_primer_bg_fixed_restr,lcdm,primer_bg,fixed,restr,True,True,False,True,False,3,lcdm/restr/fixed/lcdm_primer_bg_fixed_restr
lcdm_uvlf_bg_fixed_restr,lcdm,uvlf_bg,fixed,restr,True,True,False,True,True,3,lcdm/restr/fixed/lcdm_uvlf_bg_fixed_restr
lcdm_ceers_cmb_fixed_restr,lcdm,ceers_cmb,fixed,restr,True,False,True,False,True,6,lcdm/restr/fixed/lcdm_ceers_cmb_fixed_restr
lcdm_primer_cmb_fixed_restr,lcdm,primer_cmb,fixed,restr,True,False,True,True,False,6,lcdm/restr/fixed/lcdm_primer_cmb_fixed_restr
lcdm_uvlf_cmb_fixed_restr,lcdm,uvlf_cmb,fixed,restr,True,False,True,True,True,6,lcdm/restr/fixed/lcdm_uvlf_cmb_fixed_restr
lcdm_ceers_bg_cmb_fixed_restr,lcdm,ceers_bg_cmb,fixed,restr,True,True,True,False,True,6,lcdm/restr/fixed/lcdm_ceers_bg_cmb_fixed_restr
lcdm_primer_bg_cmb_fixed_restr,lcdm,primer_bg_cmb,fixed,restr,True,True,True,True,False,6,lcdm/restr/fixed/lcdm_primer_bg_cmb_fixed_restr
lcdm_uvlf_bg_cmb_fixed_restr,lcdm,uvlf_bg_cmb,fixed,restr,True,True,True,True,True,6,lcdm/restr/fixed/lcdm_uvlf_bg_cmb_fixed_restr
lcdm_ceers_vbeta_restr,lcdm,ceers,vbeta,restr,True,False,False,False,True,4,lcdm/restr/vbeta/lcdm_ceers_vbeta_restr
lcdm_primer_vbeta_restr,lcdm,primer,vbeta,restr,True,False,False,True,False,4,lcdm/restr/vbeta/lcdm_primer_vbeta_restr
lcdm_uvlf_vbeta_restr,lcdm,uvlf,vbeta,restr,True,False,False,True,True,4,lcdm/restr/vbeta/lcdm_uvlf_vbeta_restr
lcdm_ceers_bg_vbeta_restr,lcdm,ceers_bg,vbeta,restr,True,True,False,False,True,4,lcdm/restr/vbeta/lcdm_ceers_bg_vbeta_restr
lcdm_primer_bg_vbeta_restr,lcdm,primer_bg,vbeta,restr,True,True,False,True,False,4,lcdm/restr/vbeta/lcdm_primer_bg_vbeta_restr
lcdm_uvlf_bg_vbeta_restr,lcdm,uvlf_bg,vbeta,restr,True,True,False,True,True,4,lcdm/restr/vbeta/lcdm_uvlf_bg_vbeta_restr
lcdm_ceers_cmb_vbeta_restr,lcdm,ceers_cmb,vbeta,restr,True,False,True,False,True,7,lcdm/restr/vbeta/lcdm_ceers_cmb_vbeta_restr
lcdm_primer_cmb_vbeta_restr,lcdm,primer_cmb,vbeta,restr,True,False,True,True,False,7,lcdm/restr/vbeta/lcdm_primer_cmb_vbeta_restr
lcdm_uvlf_cmb_vbeta_restr,lcdm,uvlf_cmb,vbeta,restr,True,False,True,True,True,7,lcdm/restr/vbeta/lcdm_uvlf_cmb_vbeta_restr
lcdm_ceers_bg_cmb_vbeta_restr,lcdm,ceers_bg_cmb,vbeta,restr,True,True,True,False,True,7,lcdm/restr/vbeta/lcdm_ceers_bg_cmb_vbeta_restr
lcdm_primer_bg_cmb_vbeta_restr,lcdm,primer_bg_cmb,vbeta,restr,True,True,True,True,False,7,lcdm/restr/vbeta/lcdm_primer_bg_cmb_vbeta_restr
lcdm_uvlf_bg_cmb_vbeta_restr,lcdm,uvlf_bg_cmb,vbeta,restr,True,True,True,True,True,7,lcdm/restr/vbeta/lcdm_uvlf_bg_cmb_vbeta_restr
lcdm_ceers_vshmr_restr,lcdm,ceers,vshmr,restr,True,False,False,False,True,6,lcdm/restr/vshmr/lcdm_ceers_vshmr_restr
lcdm_primer_vshmr_restr,lcdm,primer,vshmr,restr,True,False,False,True,False,6,lcdm/restr/vshmr/lcdm_primer_vshmr_restr
lcdm_uvlf_vshmr_restr,lcdm,uvlf,vshmr,restr,True,False,False,True,True,6,lcdm/restr/vshmr/lcdm_uvlf_vshmr_restr
lcdm_ceers_bg_vshmr_restr,lcdm,ceers_bg,vshmr,restr,True,True,False,False,True,6,lcdm/restr/vshmr/lcdm_ceers_bg_vshmr_restr
lcdm_primer_bg_vshmr_restr,lcdm,primer_bg,vshmr,restr,True,True,False,True,False,6,lcdm/restr/vshmr/lcdm_primer_bg_vshmr_restr
lcdm_uvlf_bg_vshmr_restr,lcdm,uvlf_bg,vshmr,restr,True,True,False,True,True,6,lcdm/restr/vshmr/lcdm_uvlf_bg_vshmr_restr
lcdm_ceers_cmb_vshmr_restr,lcdm,ceers_cmb,vshmr,restr,True,False,True,False,True,9,lcdm/restr/vshmr/lcdm_ceers_cmb_vshmr_restr
lcdm_primer_cmb_vshmr_restr,lcdm,primer_cmb,vshmr,restr,True,False,True,True,False,9,lcdm/restr/vshmr/lcdm_primer_cmb_vshmr_restr
lcdm_uvlf_cmb_vshmr_restr,lcdm,uvlf_cmb,vshmr,restr,True,False,True,True,True,9,lcdm/restr/vshmr/lcdm_uvlf_cmb_vshmr_restr
lcdm_ceers_bg_cmb_vshmr_restr,lcdm,ceers_bg_cmb,vshmr,restr,True,True,True,False,True,9,lcdm/restr/vshmr/lcdm_ceers_bg_cmb_vshmr_restr
lcdm_primer_bg_cmb_vshmr_restr,lcdm,primer_bg_cmb,vshmr,restr,True,True,True,True,False,9,lcdm/restr/vshmr/lcdm_primer_bg_cmb_vshmr_restr
lcdm_uvlf_bg_cmb_vshmr_restr,lcdm,uvlf_bg_cmb,vshmr,restr,True,True,True,True,True,9,lcdm/restr/vshmr/lcdm_uvlf_bg_cmb_vshmr_restr
exo_bg,exo,bg,,,False,True,False,False,False,5,non_uvlf/exo_bg
exo_bg_cmb,exo,bg_cmb,,,False,True,True,False,False,8,non_uvlf/exo_bg_cmb
lcdm_bg,lcdm,bg,,,False,True,False,False,False,3,non_uvlf/lcdm_bg
lcdm_bg_cmb,lcdm,bg_cmb,,,False,True,True,False,False,6,non_uvlf/lcdm_bg_cmb
