2D GRID SCAN RESULTS
a_exo_test = -2.5,  b_exo_test = 1.0
Metric: sigma8_exo(z) / sigma8_LCDM(z)
Value > 1.0 means growth enhancement at that redshift

   z_c   sigma_z  z=6.5  z=7.5  z=8.5  z=9.5  z=10.5  z=11.5  z=12.5  z=13.5  z=14.5  z=15.5  z=16.5  z=17.5  z=18.5  z=20.0
   4.0      12.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      12.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      13.0  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      13.2  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      13.4  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      13.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      13.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      14.0  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      14.2  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      14.4  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      14.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      14.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.0      15.0  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.0      15.2  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.0      15.4  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.0      15.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.0      15.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.0      16.0  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.0      16.2  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.0      16.4  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.0      16.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.0      16.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2       3.0  0.9998  0.9996  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999  0.9999  0.9999
   4.2       3.2  0.9997  0.9995  0.9995  0.9996  0.9996  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999  0.9999
   4.2       3.4  0.9996  0.9995  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999
   4.2       3.6  0.9996  0.9994  0.9994  0.9995  0.9996  0.9996  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999
   4.2       3.8  0.9995  0.9994  0.9994  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999
   4.2       4.0  0.9994  0.9994  0.9994  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2       4.2  0.9994  0.9993  0.9994  0.9994  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2       4.4  0.9993  0.9993  0.9994  0.9994  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2       4.6  0.9993  0.9993  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2       4.8  0.9992  0.9993  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2       5.0  0.9992  0.9993  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2       5.2  0.9992  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2       5.4  0.9991  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2       5.6  0.9991  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2       5.8  0.9991  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2       6.0  0.9991  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       6.2  0.9991  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       6.4  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       6.6  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       6.8  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       7.0  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       7.2  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       7.4  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       7.6  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       7.8  0.9989  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       8.0  0.9989  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       8.2  0.9989  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       8.4  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       8.6  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       8.8  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       9.0  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       9.2  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       9.4  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       9.6  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2       9.8  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2      10.0  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2      10.2  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2      10.4  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2      10.6  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.2      10.8  0.9989  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      11.0  0.9989  0.9991  0.9993  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      11.2  0.9989  0.9991  0.9993  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      11.4  0.9988  0.9991  0.9993  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      11.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      11.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      12.0  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      12.2  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      12.4  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      12.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      12.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      13.0  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      13.2  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      13.4  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      13.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      13.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      14.0  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      14.2  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.2      14.4  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      14.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      14.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      15.0  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      15.2  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      15.4  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      15.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      15.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      16.0  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      16.2  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      16.4  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      16.6  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.2      16.8  0.9988  0.9991  0.9993  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.4       3.0  1.0000  0.9997  0.9996  0.9996  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999  0.9999  0.9999
   4.4       3.2  0.9999  0.9996  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999  0.9999
   4.4       3.4  0.9998  0.9996  0.9995  0.9996  0.9996  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999  0.9999
   4.4       3.6  0.9997  0.9996  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999
   4.4       3.8  0.9997  0.9995  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999
   4.4       4.0  0.9996  0.9995  0.9995  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9999  0.9999  0.9999  0.9999
   4.4       4.2  0.9995  0.9994  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.4       4.4  0.9995  0.9994  0.9994  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.4       4.6  0.9994  0.9994  0.9994  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999  0.9999
   4.4       4.8  0.9994  0.9994  0.9994  0.9995  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.4       5.0  0.9993  0.9993  0.9994  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.4       5.2  0.9993  0.9993  0.9994  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.4       5.4  0.9993  0.9993  0.9994  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.4       5.6  0.9992  0.9993  0.9994  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.4       5.8  0.9992  0.9993  0.9994  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.4       6.0  0.9992  0.9993  0.9994  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.4       6.2  0.9991  0.9993  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9999  0.9999
   4.4       6.4  0.9991  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       6.6  0.9991  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       6.8  0.9991  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       7.0  0.9991  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       7.2  0.9991  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       7.4  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       7.6  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       7.8  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       8.0  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       8.2  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       8.4  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.4       8.6  0.9990  0.9992  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
